DL_bitrate_SMOOTH,PINGAVG_SMOOTH,PINGLOSS_SMOOTH
17708.2,69,16.7
15540.2,69,13.3
11862.8,69,10.0
8246.0,69,6.7
7540.2,69,3.3
9786.2,69,0.0
13333.2,69,0.0
16880.2,69,0.0
17224.0,69,0.0
17802.0,69,0.0
17928.2,68,0.0
18191.4,68,0.0
17085.2,68,0.0
13724.0,68,0.0
9810.6,68,0.0
6137.4,68,0.0
6337.6,68,0.0
11496.6,69,0.0
14527.6,69,0.0
12965.8,70,0.0
12652.4,70,0.0
12760.6,70,0.0
13198.2,71,0.0
13530.6,71,0.0
15427.0,72,0.0
14593.4,72,0.0
8888.6,73,0.0
7576.2,73,0.0
9075.2,74,0.0
12911.2,74,0.0
15578.8,74,0.0
16819.2,74,0.0
16395.4,74,0.0
16477.4,74,0.0
16244.0,74,0.0
16112.2,74,0.0
12839.2,74,0.0
9946.8,74,0.0
8133.4,74,0.0
3808.2,73,0.0
5293.2,73,0.0
6752.0,73,0.0
6260.4,73,0.0
7361.0,73,0.0
6402.2,73,0.0
6458.0,72,0.0
7800.6,72,0.0
6449.4,72,0.0
5152.4,72,0.0
4721.2,72,0.0
3162.0,72,0.0
7355.2,72,0.0
10043.8,72,0.0
12193.8,72,0.0
10941.8,72,0.0
9804.2,72,0.0
8714.0,72,0.0
6644.0,72,0.0
6172.8,72,0.0
6153.6,72,0.0
4016.0,72,0.0
4341.4,72,0.0
4308.8,72,0.0
5063.0,72,0.0
5689.4,72,0.0
6135.8,72,0.0
5231.6,71,0.0
5447.4,71,0.0
6197.6,71,0.0
8487.6,71,0.0
11572.6,71,0.0
10830.4,70,0.0
8991.4,70,0.0
9364.4,70,0.0
4928.8,76,2.7
9489.4,79,4.0
14400.6,83,5.3
17028.8,86,6.7
16645.8,89,8.0
16193.8,92,9.3
14798.4,96,10.7
12273.2,99,12.0
7907.0,102,13.3
6552.4,105,14.7
5552.4,109,16.0
3329.8,112,17.3
2046.2,115,18.7
6181.8,118,22.7
8888.0,118,24.0
10953.2,117,25.3
11988.0,117,26.7
10060.0,116,29.3
8357.0,116,30.7
6408.4,116,32.0
4635.6,115,33.3
3111.0,115,34.7
2427.6,115,36.0
1442.0,114,37.3
524.8,111,36.0
1697.0,105,32.0
1870.2,102,29.3
2025.4,100,26.7
3520.0,97,24.0
3264.6,94,21.3
3031.0,88,16.0
3228.0,86,13.3
1681.6,83,10.7
1093.4,80,8.0
838.0,77,5.3
1077.4,74,2.7
9735.6,72,0.0
12895.2,71,0.0
15719.6,71,0.0
14899.6,71,0.0
14121.4,71,0.0
12027.4,71,0.0
6123.6,70,0.0
4554.0,70,0.0
2354.2,70,0.0
1236.8,70,0.0
634.6,69,0.0
8803.2,69,0.0
13060.0,68,0.0
17066.2,68,0.0
20377.6,68,0.0
20637.0,68,0.0
20772.8,68,0.0
35570.2,68,0.0
50618.2,67,0.0
71867.0,67,0.0
91608.8,67,0.0
70822.2,67,0.0
54176.2,67,0.0
12570.4,69,0.0
15395.2,70,0.0
18159.2,71,0.0
19799.0,72,0.0
19927.4,73,0.0
19758.4,74,0.0
19509.2,75,0.0
15784.0,77,0.0
11793.6,78,0.0
8110.8,79,0.0
6003.0,79,0.0
7040.4,80,0.0
9715.8,79,0.0
12538.2,79,0.0
13783.8,78,0.0
14070.8,77,0.0
14300.8,77,0.0
13758.0,76,0.0
11127.4,75,0.0
8575.0,74,0.0
6346.0,74,0.0
9073.4,73,0.0
23773.4,72,0.0
38720.4,71,0.0
64899.6,71,0.0
99936.0,70,0.0
120719.0,69,0.0
137478.6,69,0.0
140371.8,68,0.0
148910.6,68,0.0
157416.8,67,0.0
128845.8,67,0.0
97857.8,66,0.0
34972.6,66,0.0
7289.0,66,0.0
10136.8,66,0.0
13918.8,67,0.0
23312.4,67,0.0
32109.2,67,0.0
41167.6,67,0.0
54800.2,68,0.0
43188.0,68,0.0
31575.8,68,0.0
22986.6,68,0.0
13977.4,69,0.0
9132.8,70,0.0
12561.2,70,0.0
16265.8,71,0.0
16792.0,71,0.0
16882.2,72,0.0
17168.8,72,0.0
16740.2,73,0.0
16856.0,74,0.0
15726.2,74,0.0
14309.8,75,0.0
12586.6,75,0.0
14739.4,76,0.0
21391.8,75,0.0
31305.2,75,0.0
44996.0,74,0.0
66634.6,74,0.0
88212.2,73,0.0
102243.6,73,0.0
117031.2,72,0.0
131039.6,71,0.0
105598.8,71,0.0
83431.4,70,0.0
58007.6,70,0.0
8655.8,69,0.0
11093.8,69,0.0
13332.2,69,0.0
14548.2,69,0.0
14600.2,69,0.0
14620.0,69,0.0
14470.0,70,0.0
12782.2,70,0.0
10169.2,70,0.0
7115.8,70,0.0
4313.4,70,0.0
4487.6,70,0.0
6626.8,70,0.0
9874.2,70,0.0
13232.4,69,0.0
18686.0,69,0.0
37218.8,69,0.0
54954.8,69,0.0
72248.4,68,0.0
91404.2,68,0.0
112819.4,68,0.0
95353.0,68,0.0
78455.8,67,0.0
59059.2,67,0.0
40775.4,67,0.0
35265.2,67,0.0
52386.0,68,0.0
71686.4,68,0.0
94101.6,68,0.0
107214.6,68,0.0
116297.6,69,0.0
122470.6,69,0.0
105786.4,69,0.0
82901.6,69,0.0
57477.8,70,0.0
38483.2,70,0.0
13946.2,70,0.0
13600.0,70,0.0
24058.6,70,0.0
35711.6,69,0.0
50601.6,69,0.0
75170.2,69,0.0
94214.0,69,0.0
103180.0,69,0.0
89303.4,68,0.0
72251.8,68,0.0
45560.4,68,0.0
26163.8,68,0.0
12109.2,68,0.0
14576.2,69,0.0
16329.0,69,0.0
16707.8,69,0.0
17139.0,69,0.0
17462.4,70,0.0
17536.8,70,0.0
16260.6,70,0.0
12820.6,70,0.0
9108.2,71,0.0
8093.2,71,0.0
9544.2,72,0.0
13065.8,72,0.0
16484.0,72,0.0
17119.2,72,0.0
17147.6,72,0.0
17223.6,72,0.0
17231.4,72,0.0
17491.2,72,0.0
15426.2,72,0.0
13260.4,72,0.0
9910.6,72,0.0
9877.2,71,0.0
9855.0,71,0.0
12440.0,71,0.0
14765.8,71,0.0
18330.0,71,0.0
18527.0,71,0.0
18641.6,71,0.0
18211.8,70,0.0
18452.8,70,0.0
18099.0,70,0.0
14405.6,70,0.0
10634.8,70,0.0
8777.4,70,0.0
9500.8,70,0.0
13402.6,70,0.0
17251.8,70,0.0
19580.6,70,0.0
33164.0,70,0.0
49777.6,70,0.0
75518.8,70,0.0
71670.0,70,0.0
69442.4,70,0.0
55924.6,71,0.0
35412.0,71,0.0
5892.0,71,0.0
7361.6,71,0.0
5878.6,71,0.0
2115.0,71,0.0
3218.4,71,0.0
4416.0,71,0.0
5796.6,71,0.0
7830.8,71,0.0
8986.4,71,0.0
12777.2,71,0.0
17446.4,71,0.0
23000.8,71,0.0
27146.8,71,0.0
30520.6,71,0.0
29204.8,71,0.0
22992.6,71,0.0
10840.6,71,0.0
6714.8,71,0.0
4610.6,72,0.0
6350.4,72,0.0
7928.6,72,0.0
6918.6,73,0.0
5250.0,73,0.0
4788.4,73,0.0
5893.4,73,0.0
8495.8,73,0.0
12318.6,73,0.0
11571.8,72,0.0
9800.4,72,0.0
10928.8,72,0.0
12103.6,72,0.0
10773.4,72,0.0
10120.6,71,0.0
9790.8,71,0.0
10145.0,70,0.0
11596.2,69,0.0
15321.0,68,0.0
16587.6,68,0.0
14999.2,68,0.0
15832.0,68,0.0
15432.4,67,0.0
14454.4,67,0.0
16126.0,67,0.0
28509.6,67,0.0
60808.4,66,0.0
72916.0,66,0.0
70169.4,66,0.0
67231.4,66,0.0
60226.4,66,0.0
40816.4,66,0.0
46726.6,66,0.0
69800.0,66,0.0
88060.8,66,0.0
99558.2,66,0.0
101625.8,66,0.0
100772.4,66,0.0
99125.2,66,0.0
82160.8,66,0.0
64365.4,66,0.0
45387.2,66,0.0
37007.6,66,0.0
45593.8,66,0.0
76836.8,66,0.0
106001.4,66,0.0
136021.0,66,0.0
153521.0,66,0.0
153439.8,66,0.0
151913.2,66,0.0
153068.8,66,0.0
151085.4,66,0.0
121415.2,66,0.0
91483.6,66,0.0
62674.8,66,0.0
13336.6,66,0.0
19306.2,66,0.0
24503.4,66,0.0
28100.8,66,0.0
28665.8,66,0.0
28762.8,66,0.0
28842.4,66,0.0
29529.4,66,0.0
30385.2,66,0.0
24434.4,66,0.0
18592.4,66,0.0
17456.6,66,0.0
16817.4,67,0.0
23201.8,67,0.0
29719.8,67,0.0
31108.8,67,0.0
31574.2,67,0.0
32094.8,67,0.0
31986.8,67,0.0
26493.8,67,0.0
21216.6,67,0.0
15151.4,67,0.0
13398.0,67,0.0
16889.0,68,0.0
21400.2,68,0.0
26620.4,68,0.0
46951.0,68,0.0
73106.0,68,0.0
99210.0,68,0.0
120579.4,68,0.0
143168.4,68,0.0
119905.2,68,0.0
90433.8,68,0.0
60022.2,68,0.0
36887.4,68,0.0
14921.8,69,0.0
16799.0,69,0.0
19659.2,69,0.0
19987.6,70,0.0
19896.6,70,0.0
19458.4,70,0.0
19353.2,71,0.0
17825.2,71,0.0
13726.2,71,0.0
9970.4,72,0.0
10277.0,72,0.0
12978.2,72,0.0
40702.4,72,0.0
71165.4,71,0.0
102303.4,71,0.0
113475.0,71,0.0
125415.2,70,0.0
121877.0,70,0.0
92857.4,69,0.0
75134.8,69,0.0
78707.0,69,0.0
60222.8,68,0.0
33607.0,68,0.0
46638.6,67,0.0
51672.2,67,0.0
112403.6,67,0.0
126126.4,67,0.0
142098.2,67,0.0
132731.8,67,0.0
115648.4,68,0.0
109697.8,68,0.0
111007.6,68,0.0
97654.4,68,0.0
84301.2,68,0.0
63116.6,68,0.0
9580.0,68,0.0
36393.0,67,0.0
56994.2,67,0.0
76946.4,67,0.0
97402.4,66,0.0
113670.2,66,0.0
112182.0,66,0.0
91933.8,66,0.0
72334.6,65,0.0
49883.4,65,0.0
34637.2,65,0.0
17415.6,65,0.0
18519.2,65,0.0
19843.0,65,0.0
24098.8,65,0.0
28330.0,65,0.0
72827.6,65,0.0
126150.2,65,0.0
161302.8,65,0.0
194763.8,65,0.0
224454.4,65,0.0
176166.8,65,0.0
118834.0,65,0.0
46262.8,66,0.0
12055.8,66,0.0
14859.8,66,0.0
28633.6,66,0.0
49952.6,66,0.0
68506.4,66,0.0
116149.0,66,0.0
166389.6,66,0.0
198805.0,66,0.0
188292.2,66,0.0
211620.6,66,0.0
159700.2,66,0.0
105829.2,66,0.0
60936.8,66,0.0
53093.6,66,0.0
16724.0,66,0.0
24702.6,66,0.0
25322.0,66,0.0
25239.0,66,0.0
25017.8,66,0.0
24842.6,66,0.0
25114.6,66,0.0
25035.0,66,0.0
24084.2,66,0.0
18991.0,66,0.0
12722.4,66,0.0
69352.4,66,0.0
207686.4,66,0.0
273185.2,66,0.0
334754.8,66,0.0
327537.6,66,0.0
263616.6,66,0.0
120139.2,66,0.0
55242.2,66,0.0
4242.2,66,0.0
8017.0,66,0.0
8942.4,66,0.0
9769.4,66,0.0
10501.8,66,0.0
7192.6,66,0.0
15148.0,66,0.0
32802.0,66,0.0
